metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.020000
be_rate_mbps,0.050000
vi_rate_mbps,0.100000
vo_rate_mbps,4.000000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,30
stas_link1_target,0
flows_considered,77
vo_flows_considered,27
aggregate_throughput_mbps,72.900429
pedca_throughput_mbps,6.753472
edca_throughput_mbps,66.146957
vo_throughput_mbps,72.360614
pedca_vo_throughput_mbps,6.727987
edca_vo_throughput_mbps,65.632627
pedca_sta_count,3
edca_sta_count,27
pedca_vo_rx_bytes,4204992
edca_vo_rx_bytes,41020392
avg_pedca_vo_throughput_per_sta_mbps,2.242662
avg_edca_vo_throughput_per_sta_mbps,2.430838
jfi,0.858421
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,35871
rx_packets,31466
lost_packets,0
vo_tx_packets,35579
vo_rx_packets,31233
vo_lost_packets,0
delay_samples,31466
delay_p50_ms,31.000000
delay_p90_ms,94.000000
delay_p95_ms,120.000000
delay_p99_ms,189.000000
delay_p99_9_ms,276.000000
vo_delay_samples,31233
vo_delay_p50_ms,31.000000
vo_delay_p90_ms,94.000000
vo_delay_p95_ms,120.000000
vo_delay_p99_ms,187.000000
vo_delay_p99_9_ms,263.000000
ul_delay_p50_ms,31.000000
ul_delay_p90_ms,94.000000
ul_delay_p95_ms,120.000000
ul_delay_p99_ms,189.000000
ul_delay_p99_9_ms,276.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,23965
delay_over_20ms_packets,19878
jitter_samples,31389
jitter_p50_ms,3.000000
jitter_p90_ms,3.000000
jitter_p95_ms,16.000000
jitter_p99_ms,69.000000
jitter_p99_9_ms,190.000000
vo_jitter_samples,31206
vo_jitter_p50_ms,3.000000
vo_jitter_p90_ms,3.000000
vo_jitter_p95_ms,15.000000
vo_jitter_p99_ms,64.000000
vo_jitter_p99_9_ms,145.000000
ul_jitter_p50_ms,3.000000
ul_jitter_p90_ms,3.000000
ul_jitter_p95_ms,16.000000
ul_jitter_p99_ms,69.000000
ul_jitter_p99_9_ms,190.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2868.820034
flow_completion_p90_ms,4541.834242
flow_completion_p95_ms,4685.064005
flow_completion_p99_ms,4964.618074
flow_completion_p99_9_ms,4964.618074
vo_flow_completion_p50_ms,4054.041005
vo_flow_completion_p90_ms,4685.064005
vo_flow_completion_p95_ms,4780.251177
vo_flow_completion_p99_ms,4964.618074
vo_flow_completion_p99_9_ms,4964.618074
retrans_ratio_p50,0.010879
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.014099
vo_retrans_ratio_p90,0.387645
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,56
pedca_cts_attempts,11
pedca_successes,31
pedca_failures,288
pedca_resets,5
pedca_eligibility_checks,34
pedca_max_trigger_count,17
vo_mac_tx_data_failed,48969
vo_mac_tx_final_data_failed,60
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.365142
vo_mac_tx_final_data_failed_rate,0.001673
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.570000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,488.747000
vo_channel_access_delay_p99_ms,1144.001000
vo_channel_access_delay_p99_9_ms,1144.001000
vo_queue_delay_p50_ms,10.465000
vo_queue_delay_p90_ms,15.655000
vo_queue_delay_p95_ms,17.438000
vo_queue_delay_p99_ms,18.468000
vo_queue_delay_p99_9_ms,18.468000
vo_queue_depth_mean_packets,0.002366
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
