metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.100000
be_rate_mbps,0.250000
vi_rate_mbps,0.500000
vo_rate_mbps,7.000000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,10
stas_link1_target,0
flows_considered,25
vo_flows_considered,10
aggregate_throughput_mbps,43.894093
pedca_throughput_mbps,4.969536
edca_throughput_mbps,38.924557
vo_throughput_mbps,43.307942
pedca_vo_throughput_mbps,4.856013
edca_vo_throughput_mbps,38.451930
pedca_sta_count,1
edca_sta_count,9
pedca_vo_rx_bytes,3035008
edca_vo_rx_bytes,24032456
avg_pedca_vo_throughput_per_sta_mbps,4.856013
avg_edca_vo_throughput_per_sta_mbps,4.272437
jfi,0.959871
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,19877
rx_packets,18946
lost_packets,0
vo_tx_packets,19490
vo_rx_packets,18693
vo_lost_packets,0
delay_samples,18946
delay_p50_ms,108.000000
delay_p90_ms,358.000000
delay_p95_ms,417.000000
delay_p99_ms,479.000000
delay_p99_9_ms,519.000000
vo_delay_samples,18693
vo_delay_p50_ms,109.000000
vo_delay_p90_ms,359.000000
vo_delay_p95_ms,418.000000
vo_delay_p99_ms,479.000000
vo_delay_p99_9_ms,518.000000
ul_delay_p50_ms,108.000000
ul_delay_p90_ms,358.000000
ul_delay_p95_ms,417.000000
ul_delay_p99_ms,479.000000
ul_delay_p99_9_ms,519.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,14446
delay_over_20ms_packets,13956
jitter_samples,18921
jitter_p50_ms,2.000000
jitter_p90_ms,2.000000
jitter_p95_ms,2.000000
jitter_p99_ms,66.000000
jitter_p99_9_ms,204.000000
vo_jitter_samples,18683
vo_jitter_p50_ms,2.000000
vo_jitter_p90_ms,2.000000
vo_jitter_p95_ms,2.000000
vo_jitter_p99_ms,59.000000
vo_jitter_p99_9_ms,173.000000
ul_jitter_p50_ms,2.000000
ul_jitter_p90_ms,2.000000
ul_jitter_p95_ms,2.000000
ul_jitter_p99_ms,66.000000
ul_jitter_p99_9_ms,204.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2982.267649
flow_completion_p90_ms,4380.550183
flow_completion_p95_ms,4761.178778
flow_completion_p99_ms,4958.866000
flow_completion_p99_9_ms,4958.866000
vo_flow_completion_p50_ms,3874.324094
vo_flow_completion_p90_ms,4761.178778
vo_flow_completion_p95_ms,4958.866000
vo_flow_completion_p99_ms,4958.866000
vo_flow_completion_p99_9_ms,4958.866000
retrans_ratio_p50,0.101735
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.033898
vo_retrans_ratio_p90,0.065619
vo_retrans_ratio_p95,0.101735
vo_retrans_ratio_p99,0.101735
vo_retrans_ratio_p99_9,0.101735
pedca_selections,10
pedca_cts_attempts,4
pedca_successes,8
pedca_failures,41
pedca_resets,2
pedca_eligibility_checks,13
pedca_max_trigger_count,2
vo_mac_tx_data_failed,22031
vo_mac_tx_final_data_failed,24
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.108366
vo_mac_tx_final_data_failed_rate,0.001207
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.003000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,488.623000
vo_channel_access_delay_p99_ms,494.445000
vo_channel_access_delay_p99_9_ms,494.445000
vo_queue_delay_p50_ms,5.559000
vo_queue_delay_p90_ms,11.381000
vo_queue_delay_p95_ms,11.789000
vo_queue_delay_p99_ms,11.789000
vo_queue_delay_p99_9_ms,11.789000
vo_queue_depth_mean_packets,0.000859
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
