metric,pedca,dist
throughput_mbps,359.055223,353.172132
delay_p95_ms,15.000000,13.000000
jitter_p95_ms,1.000000,1.000000
rts_failed_rate,0.007358,0.007556
queue_delay_p95_ms,36.923579,109.542000
