metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.020000
be_rate_mbps,0.050000
vi_rate_mbps,0.150000
vo_rate_mbps,4.500000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,20
stas_link1_target,0
flows_considered,47
vo_flows_considered,19
aggregate_throughput_mbps,43.296358
pedca_throughput_mbps,14.973478
edca_throughput_mbps,28.322880
vo_throughput_mbps,42.849216
pedca_vo_throughput_mbps,14.846054
edca_vo_throughput_mbps,28.003162
pedca_sta_count,6
edca_sta_count,14
pedca_vo_rx_bytes,9278784
edca_vo_rx_bytes,17501976
avg_pedca_vo_throughput_per_sta_mbps,2.474342
avg_edca_vo_throughput_per_sta_mbps,2.000226
jfi,0.890896
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,26348
rx_packets,18688
lost_packets,0
vo_tx_packets,26063
vo_rx_packets,18495
vo_lost_packets,0
delay_samples,18688
delay_p50_ms,197.000000
delay_p90_ms,479.000000
delay_p95_ms,498.000000
delay_p99_ms,585.000000
delay_p99_9_ms,654.000000
vo_delay_samples,18495
vo_delay_p50_ms,199.000000
vo_delay_p90_ms,480.000000
vo_delay_p95_ms,498.000000
vo_delay_p99_ms,586.000000
vo_delay_p99_9_ms,654.000000
ul_delay_p50_ms,197.000000
ul_delay_p90_ms,479.000000
ul_delay_p95_ms,498.000000
ul_delay_p99_ms,585.000000
ul_delay_p99_9_ms,654.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,15012
delay_over_20ms_packets,14290
jitter_samples,18641
jitter_p50_ms,3.000000
jitter_p90_ms,3.000000
jitter_p95_ms,4.000000
jitter_p99_ms,113.000000
jitter_p99_9_ms,314.000000
vo_jitter_samples,18476
vo_jitter_p50_ms,3.000000
vo_jitter_p90_ms,3.000000
vo_jitter_p95_ms,3.000000
vo_jitter_p99_ms,102.000000
vo_jitter_p99_9_ms,294.000000
ul_jitter_p50_ms,3.000000
ul_jitter_p90_ms,3.000000
ul_jitter_p95_ms,4.000000
ul_jitter_p99_ms,113.000000
ul_jitter_p99_9_ms,314.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2929.649834
flow_completion_p90_ms,4428.247368
flow_completion_p95_ms,4590.265526
flow_completion_p99_ms,4916.965887
flow_completion_p99_9_ms,4916.965887
vo_flow_completion_p50_ms,3767.545421
vo_flow_completion_p90_ms,4697.897729
vo_flow_completion_p95_ms,4916.965887
vo_flow_completion_p99_ms,4916.965887
vo_flow_completion_p99_9_ms,4916.965887
retrans_ratio_p50,0.292199
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.242531
vo_retrans_ratio_p90,0.344144
vo_retrans_ratio_p95,0.436557
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,34
pedca_cts_attempts,9
pedca_successes,15
pedca_failures,82
pedca_resets,4
pedca_eligibility_checks,34
pedca_max_trigger_count,9
vo_mac_tx_data_failed,27697
vo_mac_tx_final_data_failed,37
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.051199
vo_mac_tx_final_data_failed_rate,0.001404
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.634000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,484.854000
vo_channel_access_delay_p99_ms,490.457000
vo_channel_access_delay_p99_9_ms,491.245000
vo_queue_delay_p50_ms,9.362000
vo_queue_delay_p90_ms,15.495000
vo_queue_delay_p95_ms,17.879000
vo_queue_delay_p99_ms,18.346000
vo_queue_delay_p99_9_ms,18.346000
vo_queue_depth_mean_packets,0.001319
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
