metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,1
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,1
stas_link0_target,10
stas_link1_target,0
flows_considered,130
vo_flows_considered,16
aggregate_throughput_mbps,106.924990
pedca_throughput_mbps,16.813414
edca_throughput_mbps,90.111576
jfi,0.778179
dl_throughput_mbps,202.792666
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,1484139
rx_packets,1476071
lost_packets,4610
vo_tx_packets,433646
vo_rx_packets,433531
vo_lost_packets,28
delay_samples,1476071
delay_p50_ms,6.000000
delay_p90_ms,89.000000
delay_p95_ms,179.000000
delay_p99_ms,402.000000
delay_p99_9_ms,928.000000
vo_delay_samples,433531
vo_delay_p50_ms,5.000000
vo_delay_p90_ms,12.000000
vo_delay_p95_ms,16.000000
vo_delay_p99_ms,28.000000
vo_delay_p99_9_ms,53.000000
ul_delay_p50_ms,6.000000
ul_delay_p90_ms,49.000000
ul_delay_p95_ms,98.000000
ul_delay_p99_ms,394.000000
ul_delay_p99_9_ms,1017.000000
dl_delay_p50_ms,6.000000
dl_delay_p90_ms,129.000000
dl_delay_p95_ms,216.000000
dl_delay_p99_ms,405.000000
dl_delay_p99_9_ms,624.000000
delay_over_10ms_packets,475433
delay_over_20ms_packets,319184
jitter_samples,1475941
jitter_p50_ms,1.000000
jitter_p90_ms,1.000000
jitter_p95_ms,1.000000
jitter_p99_ms,14.000000
jitter_p99_9_ms,251.000000
vo_jitter_samples,433515
vo_jitter_p50_ms,1.000000
vo_jitter_p90_ms,1.000000
vo_jitter_p95_ms,1.000000
vo_jitter_p99_ms,3.000000
vo_jitter_p99_9_ms,14.000000
ul_jitter_p50_ms,1.000000
ul_jitter_p90_ms,1.000000
ul_jitter_p95_ms,1.000000
ul_jitter_p99_ms,13.000000
ul_jitter_p99_9_ms,300.000000
dl_jitter_p50_ms,1.000000
dl_jitter_p90_ms,1.000000
dl_jitter_p95_ms,1.000000
dl_jitter_p99_ms,17.000000
dl_jitter_p99_9_ms,226.000000
flow_completion_p50_ms,28649.296000
flow_completion_p90_ms,28974.858000
flow_completion_p95_ms,28988.424723
flow_completion_p99_ms,28996.789925
flow_completion_p99_9_ms,28999.994789
vo_flow_completion_p50_ms,28928.665000
vo_flow_completion_p90_ms,28984.525000
vo_flow_completion_p95_ms,28999.994789
vo_flow_completion_p99_ms,28999.994789
vo_flow_completion_p99_9_ms,28999.994789
retrans_ratio_p50,0.019541
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.000072
vo_retrans_ratio_p90,1.000000
vo_retrans_ratio_p95,1.000000
vo_retrans_ratio_p99,1.000000
vo_retrans_ratio_p99_9,1.000000
pedca_selections,8
pedca_cts_attempts,1
pedca_successes,8
pedca_failures,21
pedca_resets,0
pedca_eligibility_checks,5
pedca_max_trigger_count,2
vo_mac_tx_data_failed,419640
vo_mac_tx_final_data_failed,1762
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,0.282750
vo_mac_tx_final_data_failed_rate,0.001187
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.461000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,491.048000
vo_channel_access_delay_p99_9_ms,491.048000
vo_queue_delay_p50_ms,4.333000
vo_queue_delay_p90_ms,9.807000
vo_queue_delay_p95_ms,10.206000
vo_queue_delay_p99_ms,10.206000
vo_queue_delay_p99_9_ms,10.206000
vo_queue_depth_mean_packets,0.000210
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
