metric,value
pedca_enabled,1
split_stas_across_links,0
distribute_pedca_across_links,0
rts_cts_threshold,65535
qsrc_threshold,2
psrc_threshold,2
enable_ul,1
enable_dl,0
vo_only_traffic,0
use_rate_limited_traffic,1
offered_load_mbps_per_flow,2.000000
bk_rate_mbps,0.100000
be_rate_mbps,0.250000
vi_rate_mbps,0.500000
vo_rate_mbps,7.000000
mean_profile_ms,250.000000
probability_two_flows,0.150000
max_bytes_per_flow,0
app_start_spread_s,2.000000
stas_link0_target,10
stas_link1_target,0
flows_considered,28
vo_flows_considered,10
aggregate_throughput_mbps,43.328794
pedca_throughput_mbps,20.098240
edca_throughput_mbps,23.230554
vo_throughput_mbps,42.594368
pedca_vo_throughput_mbps,19.590861
edca_vo_throughput_mbps,23.003507
pedca_sta_count,5
edca_sta_count,5
pedca_vo_rx_bytes,12244288
edca_vo_rx_bytes,14377192
avg_pedca_vo_throughput_per_sta_mbps,3.918172
avg_edca_vo_throughput_per_sta_mbps,4.600701
jfi,0.962166
dl_throughput_mbps,0.000000
delay_samples_present,1
jitter_samples_present,1
completion_samples_present,1
tx_packets,19877
rx_packets,18702
lost_packets,0
vo_tx_packets,19490
vo_rx_packets,18385
vo_lost_packets,0
delay_samples,18702
delay_p50_ms,99.000000
delay_p90_ms,374.000000
delay_p95_ms,448.000000
delay_p99_ms,496.000000
delay_p99_9_ms,592.000000
vo_delay_samples,18385
vo_delay_p50_ms,100.000000
vo_delay_p90_ms,375.000000
vo_delay_p95_ms,448.000000
vo_delay_p99_ms,496.000000
vo_delay_p99_9_ms,591.000000
ul_delay_p50_ms,99.000000
ul_delay_p90_ms,374.000000
ul_delay_p95_ms,448.000000
ul_delay_p99_ms,496.000000
ul_delay_p99_9_ms,592.000000
dl_delay_p50_ms,0.000000
dl_delay_p90_ms,0.000000
dl_delay_p95_ms,0.000000
dl_delay_p99_ms,0.000000
dl_delay_p99_9_ms,0.000000
delay_over_10ms_packets,14146
delay_over_20ms_packets,13607
jitter_samples,18674
jitter_p50_ms,2.000000
jitter_p90_ms,2.000000
jitter_p95_ms,2.000000
jitter_p99_ms,60.000000
jitter_p99_9_ms,212.000000
vo_jitter_samples,18375
vo_jitter_p50_ms,2.000000
vo_jitter_p90_ms,2.000000
vo_jitter_p95_ms,2.000000
vo_jitter_p99_ms,51.000000
vo_jitter_p99_9_ms,186.000000
ul_jitter_p50_ms,2.000000
ul_jitter_p90_ms,2.000000
ul_jitter_p95_ms,2.000000
ul_jitter_p99_ms,60.000000
ul_jitter_p99_9_ms,212.000000
dl_jitter_p50_ms,0.000000
dl_jitter_p90_ms,0.000000
dl_jitter_p95_ms,0.000000
dl_jitter_p99_ms,0.000000
dl_jitter_p99_9_ms,0.000000
flow_completion_p50_ms,2887.103778
flow_completion_p90_ms,4377.959961
flow_completion_p95_ms,4773.925147
flow_completion_p99_ms,4959.127499
flow_completion_p99_9_ms,4959.127499
vo_flow_completion_p50_ms,3872.251196
vo_flow_completion_p90_ms,4773.925147
vo_flow_completion_p95_ms,4959.127499
vo_flow_completion_p99_ms,4959.127499
vo_flow_completion_p99_9_ms,4959.127499
retrans_ratio_p50,0.142053
retrans_ratio_p90,1.000000
retrans_ratio_p95,1.000000
retrans_ratio_p99,1.000000
retrans_ratio_p99_9,1.000000
vo_retrans_ratio_p50,0.021971
vo_retrans_ratio_p90,0.142053
vo_retrans_ratio_p95,0.171995
vo_retrans_ratio_p99,0.171995
vo_retrans_ratio_p99_9,0.171995
pedca_selections,12
pedca_cts_attempts,13
pedca_successes,6
pedca_failures,21
pedca_resets,6
pedca_eligibility_checks,51
pedca_max_trigger_count,2
vo_mac_tx_data_failed,21493
vo_mac_tx_final_data_failed,18
vo_mac_tx_rts_failed,0
vo_mac_tx_data_failed_rate,1.081300
vo_mac_tx_final_data_failed_rate,0.000906
vo_mac_tx_rts_failed_rate,0.000000
vo_channel_access_delay_p50_ms,1.038000
vo_channel_access_delay_p90_ms,120.001000
vo_channel_access_delay_p95_ms,120.001000
vo_channel_access_delay_p99_ms,490.440000
vo_channel_access_delay_p99_9_ms,490.440000
vo_queue_delay_p50_ms,6.714000
vo_queue_delay_p90_ms,10.699000
vo_queue_delay_p95_ms,11.142000
vo_queue_delay_p99_ms,11.142000
vo_queue_delay_p99_9_ms,11.142000
vo_queue_depth_mean_packets,0.000774
vo_queue_depth_max_packets,1
vo_queue_drop_packets,0
vo_queue_drop_before_enqueue_packets,0
vo_queue_expired_drop_packets,0
